"Tax","Tasse"
"Tax Calculation Based On","Calcolo tasse basato su"
"Tax Calculation Method Based On","Metodo calcolo tasse basato su"
"Tax Class for Shipping","Classe tasse per spedizione"
"Tax Classes","Classe tasse"
"Tax Identifier","Tax Identifier"
"Tax Rate","Tax Rate"
"Tax Rate Information","Informazioni Tax Rate"
"Tax Rule Information","Informazioni Tax Rule"
"Tax Rules","Regole delle tasse"
"Tax Section","Sezione tassa"
"Tax Titles","Titolo tassa"
"Tax rate cannot be removed. It exists in tax rule","Tax rate non può essere rimosso. Esiste nelle regole delle tasse"
"Tax rates at the same priority are added, others are compounded.","Vengono aggiunti Tax rates con le stesse, gli altri sono composti."
"The tax class has been deleted.","La classe fiscale è stata cancellata."
"The tax class has been saved.","La classe fiscale è stata salvata."
"The tax rate has been deleted.","Il tax rate è stato cancellato."
"The tax rate has been imported.","Il tax rate è stato importato."
"The tax rate has been saved.","Il tax rate è stato salvato."
"The tax rule has been deleted.","La regola di tassa è stata cancellata."
"The tax rule has been saved.","La regola di tassa è stata salvata."
"This class no longer exists","Questa classe non è più esistente"
"This rule no longer exists","Questa regola non è più esistente"
"This rule no longer exists.","Questa regola non è più esistente"
"Total","Totale"
"Unit Price","Prezzo unitario"
"Whether catalog prices entered by admin include tax.","Se i prezzi sono inclusivi di tasse o no"
"Whether shipping amounts entered by admin or obtained from gateways include tax.","Se i costi di spedizione introdotto dall\'amministratore sono ottenenuti dal gateways includono le tasse."
"Yes","Sì"
"You cannot delete this tax class as it is used for %d customer groups.","Non puoi cancellare questa classe fiscale perché p utilizzata per i gruppi cliente %d."
"You cannot delete this tax class as it is used for %d products.","Non puoi cancellare questa classe fiscale perché è utilizzata per i prodotti %d."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Non puoi cacellare questa classe fiscale perché è utlizzata nelle regole di tassa. Per prima cosa devi cancellare le regole se sono in uso."
"Zip/Post Code","CAP"
"Zip/Post is Range","Zip/Post is Range"
